Biblioteca,Ciutat,Manuscrits,lat,lng
Bibliotheca Apostolica Vaticana,Vaticà,"215, 267, 273, 684, 1118, 91, 387, 545, A.IV.105, E.IV.118, 11, 31, 375, 396, 405, 409, 542, 561, 654, 704, 816, 832, 839, 845, 1095, 1250, 1278, 1405, 1489, 1624, 1853, 2347, 381, 981, 984, 1339, 1590, 1179, 1289, 1408, 1468, 756, 990, 852, 1394, 1442, 1444, 1506, 946, 1054, 2934, 3023, 3069, 3177, 3187, 3468, 3857, 3858, 4033, 4093, 4724, 4850, 5044, 5083, 5090, 5111, 5112, 5347, 5846, 5847, 5902, 6197, 6198, 6295, 7199, 7239, 7317, 7623, 9332, 9344, 9443, 9832, 10036, 10275, 10598, 10734, 10811, 11585, 12806, 13680, lat. 254, 375",41.9047482,12.4549566
"Bibliothèque Interuniversitaire de Santé, Pharmacie",París,33,48.8433202,2.3359232
Bibliothèque Mazarine,París,"3500, 3501, 3502, 3503, 3504, 3505, 3506, 3507, 3508, 3509, 3510",48.8572708,2.3373594
Bibliothèque Municipale,Arràs,78 (Quicherot 100),50.3657924,2.8893815
Bibliothèque Municipale,Bordeus,"530, 532",44.9043446,-0.6687148
Bibliothèque Municipale,Caen,143,49.134502850000004,-0.29541050800042284
Bibliothèque Municipale,Lió,"258, 662",45.76048005,4.857298572576333
Bibliothèque Municipale,Marsella,1095,43.2989721,5.3766901
Bibliothèque Municipale,Nantes,523,47.0434525,-1.1874706
Bibliothèque Municipale,Orléans,"291, 1031",47.9252584,1.8930766
Bibliothèque Municipale,Troyes,"1462, 1539",48.30047915,4.117958667844925
Bibliothèque Nationale,París,"41, 204, 208, 234, 289, 478, 189, 763, 1130, 1971, 1972, 1973, 2019, 2573, 12555, 14798, 14801, 19069, 19071, 19074, 19809, 19810, 19960, 19965, 19974, 19980, 22933, 24402, 25320, 6182, 6504, 314, 1464, 3171, 3174, 3323, 3342, 7150, 7156, 7161, 7162, 7163, 7164, 7165, 7166, 7167, 7177, 10204, 11185, 11202, 12969, 12972, 12973, 12974, 13961, 13962, 14007, 14008, 14068, 14586, 14664, 14713, 15095, 15096, 15097, 15098, 15099, 15100, 15145, 15385, 15450, 16111, 16112, 16113, 16114, 16115, 16116, 16117, 16118, 16119, 16120, 16614, 16615, 17819, 17820, 17821, 17822, 17823, 17824, 17825, 17826, 17827, 17828, 17829, 19960, 3348A, 3446A, 6443C, 6443D, 7267A, 8773A, 617, 634, 1293, 1505",48.8677989,2.337867
Bibliothèque Royale,Brussel·les,"[I] 10493-10497, IV 00583, 1188, 2954, 2955, 2956, 3751",50.8432758,4.356757
Bibliothèque de l'Arsenal,París,"516, 725, 809, 829, 2675, 2915, 3019, 3024, 3240",48.85027049999999,2.363485225955305
Bodleian Library,Oxford,"B 25, 273, 1437, 1441, 1444, 1450, 1451, 1471, 1479, 1480, 1483, 1484, 1490, 1494, 1507, 1508, 465, 645, 879, 26, 147, 26, 35, 123, 141, 195, 298, 299, 312, 332, 365, 195, 85, 162, 164, 192, 162, 219, 46, 40, 22",51.75406145,-1.2546961769845195
British Library,Londres,"9351, 10764, 14040, 16428, 16429, 16430, 16431, 16432, 16434, 22768, 41486, 3369, 3770, 5399, 6149, 14.E.II, 8.F.VIII, 75, 419, 976, 1091, 1118, 1255, 2006, 2008, 2128, 2385, 2416, 3457, 251, 635.l.11",51.5299119,-0.1276918163545741
Burgerbibliothek,Berna,"A 78, B 37, B 38, B 44, 244, 762",46.9473167,7.4483744
Christ Church,Canterbury,50 (B-8),-43.522176200000004,172.58627454999998
Civica Biblioteca Angelo Mai,Bèrgam,"MA 011, MA 263, MA 365",45.7043224,9.6632611
College of Arms,Londres,M19,51.51217685,-0.09855560046961828
Columbia University,New York,"187, 282",40.80775585,-73.96161411567529
Corpus Christi College,Cambridge (GB),"99, 112, 395, 396",52.203143600000004,0.11825528457736542
Corpus Christi College,Oxford,"136, 185, 238, 244, 247",51.75060915,-1.253590909935305
Fitzwilliam Museum,Cambridge (GB),366,52.1998523,0.11973852544753383
Fondation Martin Bodmer,Cologny-Ginebra,109,46.215210799999994,6.180562558456277
