,Ciutat,Biblioteca
56,Roma,Arxiu de la sagrada congregació de ritus
57,Roma,Biblioteca Casanatense
58,Roma,Biblioteca dell'Accademia Nazionale dei Lincei e Corsiniana
59,Roma,Biblioteca Nazionale Centrale Vittorio Emanuele II
60,Roma,Biblioteca Nazionale Centrale Vittorio Emanuele II
61,Roma,Collegio di Sant'Isidoro
62,Roma,San Candido
63,Savignano sul Rubicone,Rubiconia Accademia dei Filopatridi
64,Terni,Biblioteca Comunale
65,Torí,Archivio di Stato
66,Torí,Biblioteca Nazionale Universitaria
67,Trento,Biblioteca Comunale
68,Venècia,Biblioteca Nazionale Marciana
69,Venècia,Biblioteca Nazionale Marciana
70,Venècia,Biblioteca Nazionale Marciana
71,Venècia,Biblioteca Nazionale Marciana
72,Verona,Biblioteca Civica
73,Vicenza,Biblioteca Civica Bertoliana
0,Amsterdam,Bibliotheca Philosophica Hermetica (J.R. Ritman Library)
1,Leiden,Bibliotheek der Universiteit
2,Leiden,Bibliotheek der Universiteit
3,l'Haia,Koninklijke Bibliotheek
4,l'Haia,Koninklijke Bibliotheek
5,Utrecht,Bibliotheek der Universiteit
0,Cieszyn,Ksiaznica Cieszynska
1,Cracòvia,Biblioteka Jagiellonska
2,Gdansk,Biblioteka Polskiej Akademii Nauk
3,Gdansk,Biblioteka Polskiej Akademii Nauk
4,Wroclaw,Biblioteka Uniwersytecka
0,Évora,Biblioteca Pública
1,Lisboa,Academia das Ciências
2,Lisboa,Biblioteca Nacional
3,Porto,Biblioteca Pública Municipal
4,Porto,Biblioteca Pública Municipal
0,Bristol,City Archives
1,Cambridge (GB),Corpus Christi College
2,Cambridge (GB),Fitzwilliam Museum
3,Cambridge (GB),Trinity College
4,Cambridge (GB),Trinity College
5,Cambridge (GB),University Library
6,Canterbury,Christ Church
7,Edimburg,National Library of Scotland
8,Edimburg,University Library
9,Glasgow,University of Glascow Library
10,Glasgow,University of Glascow Library
11,Glasgow,University of Glascow Library
12,Londres,British Library
13,Londres,British Library
14,Londres,British Library
15,Londres,British Library
16,Londres,British Library
17,Londres,British Library
18,Londres,College of Arms
19,Londres,Wellcome Institute for the History of Science
20,Manchester,John Rylands Library
21,Manchester,John Rylands Library
22,Oxford,Bodleian Library
23,Oxford,Bodleian Library
24,Oxford,Bodleian Library
25,Oxford,Bodleian Library
26,Oxford,Bodleian Library
27,Oxford,Bodleian Library
28,Oxford,Bodleian Library
29,Oxford,Bodleian Library
30,Oxford,Bodleian Library
31,Oxford,Bodleian Library
32,Oxford,Bodleian Library
33,Oxford,Bodleian Library
34,Oxford,Corpus Christi College
35,Oxford,Merton College
36,Oxford,Queen's College
37,Oxford,St. John's College
38,Winchester,The Warden and Fellows Library
0,Praga,Archiv Pražského hradu (olim: Knihovna Metropolitní Kapituli)
1,Praga,Universítni Kníhovna
0,Vaticà,Bibliotheca Apostolica Vaticana
1,Vaticà,Bibliotheca Apostolica Vaticana
2,Vaticà,Bibliotheca Apostolica Vaticana
3,Vaticà,Bibliotheca Apostolica Vaticana
4,Vaticà,Bibliotheca Apostolica Vaticana
5,Vaticà,Bibliotheca Apostolica Vaticana
6,Vaticà,Bibliotheca Apostolica Vaticana
7,Vaticà,Bibliotheca Apostolica Vaticana
8,Vaticà,Bibliotheca Apostolica Vaticana
9,Vaticà,Bibliotheca Apostolica Vaticana
10,Vaticà,Bibliotheca Apostolica Vaticana
11,Vaticà,Bibliotheca Apostolica Vaticana
0,Alep (Síria),Évêché Maronite
0,Uppsala,Universitetsbiblioteket
0,Basilea,Universitätsbibliothek
1,Berna,Burgerbibliothek
2,Cologny-Ginebra,Fondation Martin Bodmer
3,Fribourg,Couvent des Cordeliers (Franziskanerkloster)
4,Ginebra,Bibliothèque Publique et Universitaire
5,Lucerna,Zentral- und Hochschulbibliothek
6,Sankt Gallen,Kantonsbibliothek (Vadiana)
7,Zuric,Zentralbibliothek
