Biblioteca,Ciutat,Manuscrits
Biblioteca Pública,Palma,Inc. 463 - Perdut.1 - Perdut.2 - 40 - 76 - 105 - 111 - 182 - 185 - 226 - 315 - 484 - 511 - 526 - 562 - 575 - 581 - 591 - 622 - 623 - 669 - 670 - 680 - 682 - 688 - 693 - 712 - 741 - 759 - 760 - 763 - 765 - 770 - 771 - 787 - 805 - 809 - 823 - 832 - 841 - 875 - 892 - 894 - 991 - 992 - 993 - 994 - 995 - 996 - 997 - 998 - 999 - 1000 - 1001 - 1002 - 1003 - 1004 - 1005 - 1006 - 1007 - 1008 - 1009 - 1010 - 1011 - 1012 - 1013 - 1014 - 1015 - 1016 - 1017 - 1018 - 1019 - 1020 - 1021 - 1022 - 1023 - 1024 - 1025 - 1026 - 1027 - 1028 - 1029 - 1030 - 1031 - 1032 - 1033 - 1034 - 1035 - 1036 - 1037 - 1038 - 1039 - 1040 - 1041 - 1042 - 1043 - 1044 - 1045 - 1046 - 1047 - 1048 - 1049 - 1050 - 1051 - 1052 - 1053 - 1054 - 1055 - 1061 - 1062 - 1063 - 1064 - 1065 - 1066 - 1067 - 1068 - 1069 - 1070 - 1071 - 1072 - 1074 - 1075 - 1076 - 1079 - 1080 - 1081 - 1082 - 1083 - 1084 - 1085 - 1086 - 1087 - 1088 - 1089 - 1090 - 1091 - 1092 - 1093 - 1094 - 1095 - 1097 - 1098 - 1099 - 1100 - 1103 - 1104 - 1122 - 1124 - 1129 - 1135 - 1138 - 1139 - 1143 - 1144 - 1152 - 1155 - 1161 - 1165 - 1171 - 1173 - 1176 - 1184 - 62-64 - 592-605 - 766-769 - 1056-1060 - 1077-1078
Biblioteca Pública,Évora,CVI/1-40
Biblioteca Pública Municipal,Porto,"95 (1150), 803"
Biblioteca Pública Provincial,Còrdova,56
Biblioteca Riccardiana,Florència,337 - 390 - 669 - 691 - 803 - 923 - 932 - 942 - 984 - 1001 - 1165 - 1367 - 2827
Biblioteca Statale,Lucca,1072 - 2641
Biblioteca Universitaria,Bolonya,"138 (104) - 142 (109) - 164 (153) - 168 (180) - 169 (181) - 270 (457) - 271 (458) - 522 (926) - 523 (927) - 524 (928) - 525 (929) - 888 (1732) - 1353 (2591) - 20 (12.I.9), 21"
Biblioteca Universitaria,Càller,131
Biblioteca Universitaria,Gènova,A IX 27
Biblioteca Universitaria,Pavia,120 - 413
Biblioteca Universitaria,Pisa,687
Biblioteca Universitaria,Pàdua,63 - 1380 - 1717
Biblioteca Vivot,Palma,2 - 4 - 5
Biblioteca de Catalunya,Barcelona,"12 - 18 - 118 - 366 - 393 - 394 - 397 - 481 - 676 - 682 - 686 - 700 - 877 - 1029 - 1038 - 1131 - 1167 - 1304 - 1451 - 1452 - 1463 - 1518 - 1720 - 1726 - 1727 - 1728 - 1740 - 1764 - 1804 - 1901 - 2007 - 2017 - 2021 - 2022 - 2261 - 3075 - 3076 - 3078 - 3174 - 3187 - 3188 - 3189 - 3337 - 9318, AH 954/1"
Biblioteca de l'Ateneu Barcelonès,Barcelona,III
"Biblioteca de la Universidad Complutense, Biblioteca Histórica",Madrid,64 - 65 - 106 - 107
Biblioteca de la Universitat de Barcelona,Barcelona,59 - 96 - 280 - 728 - 1986
Biblioteca del Comune e dell'Accademia Etrusca,Cortona,212 - 213 - 214 - 215 - 291
Biblioteca del Convento di S. Giovanni,Capestrano,XV
Biblioteca del Monestir,Montserrat,1 - 52 - 184 - 205 - 341 - 342 - 343 - 344 - 406 - 482 - 842 - 1024 - 470-475
Biblioteca del Palacio Real,Madrid,II-2462
Biblioteca del Real Monasterio,El Escorial,&.II.1 - &.II.15 - &.IV.6 - d.II.5 - d.III.23 - d.III.25 - f.I.10 - f.IV.12 - g.II.5 - g.IV.8 - g.IV.9 - g.IV.39 - II.G.6 - x.III.3
Biblioteca del Seminario Diocesano di Concordia-Pordenone,Pordenone,43
Biblioteca del Seminario vescovile,Pàdua,Cod. 16
Biblioteca dell'Accademia Nazionale dei Lincei e Corsiniana,Roma,129 - 44.A.3 - 36.E.34
Biblioteca nazionale,Bari,I.116
Biblioteka Jagiellonska,Cracòvia,Hisp. Qu. 63 - 809 - 839
Biblioteka Polskiej Akademii Nauk,Gdansk,"2224, F. 309"
Biblioteka Uniwersytecka,Wroclaw,Mil. II 384
Bibliotheca Apostolica Vaticana,Vaticà,"215 - 267 - 273 - 684 - 1118, 91 - 387 - 545, A.IV.105 - E.IV.118, 11, 31 - 375 - 396 - 405 - 409 - 542 - 561 - 654 - 704 - 816 - 832 - 839 - 845 - 1095 - 1250 - 1278 - 1405 - 1489 - 1624 - 1853 - 2347, 381 - 981 - 984 - 1339 - 1590, 1179 - 1289 - 1408 - 1468, 756 - 990, 852 - 1394 - 1442 - 1444 - 1506, 946 - 1054 - 2934 - 3023 - 3069 - 3177 - 3187 - 3468 - 3857 - 3858 - 4033 - 4093 - 4724 - 4850 - 5044 - 5083 - 5090 - 5111 - 5112 - 5347 - 5846 - 5847 - 5902 - 6197 - 6198 - 6295 - 7199 - 7239 - 7317 - 7623 - 9332 - 9344 - 9443 - 9832 - 10036 - 10275 - 10598 - 10734 - 10811 - 11585 - 12806 - 13680, lat. 254, 375"
Bibliotheca Philosophica Hermetica (J.R. Ritman Library),Amsterdam,17
Bibliotheek der Universiteit,Leiden,"F.1 - F.20 - F.29 - F.35 - F.36 - O.3 - O.5 - O.8 - Q.2 - Q.11 - Q.17 - Q.21 - Q.33, 52 B"
Bibliotheek der Universiteit,Utrecht,691 (Eccl. 41)
Bibliothek der Benediktinerabtei,St. Georgenberg-Fiecht,27 - 41 - 148 - 159
Bibliothèque Inguimbertine,Carpentràs,294
Bibliothèque Interuniversitaire de Santé - Pharmacie,París,33
Bibliothèque Mazarine,París,3500 - 3501 - 3502 - 3503 - 3504 - 3505 - 3506 - 3507 - 3508 - 3509 - 3510
Bibliothèque Municipale,Arràs,78 (Quicherot 100)
Bibliothèque Municipale,Bordeus,530 - 532
Bibliothèque Municipale,Caen,143
