,Ciutat,Biblioteca,Fons,Manuscrits,Unnamed: 4
25,Madrid,Biblioteca Nacional de España,[Fons general. Codi: 89],Res. 35 - 74 - 131 - 132 - 174 - 185 - 444 - 875 - 2058 - 2151 - 3344 - 3351 - 3352 - 3353 - 3364 - 3365 - 3506 - 4293 - 5611 - 5734 - 7443 - 9250 - 9609 - 9898 - 10103 - 10394 - 11559 - 13552 - 13595 - 16884 - 17714 - 17721 - 17892 - 18341 - 18361 - 10818/22,
26,Madrid,Real Academia de la Historia,(fons general),N-7 (sign. antiga) - 9-2163 - 9-2167 - 9-4024 - 9-5745 - 9-7117,
27,Madrid,Real Academia de la Historia,Muñoz,VI,
28,Madrid,Real Academia de la Historia,Gayangos,1922/36,
29,Montserrat,Biblioteca del Monestir,[Fons general. Codi: 95],1 - 52 - 184 - 205 - 341 - 342 - 343 - 344 - 406 - 482 - 842 - 1024 - 470-475,
30,Palma,Arxiu Capitular,[Fons general. Codi: 202],15530 - 15582 - 16012 - 16013 - 18166 - 18466 - 18471 - 18472,
31,Palma,Arxiu del Regne de Mallorca,[Fons general. Codi: 113],"Lul·lisme 1 - Lul·lisme 2/1 - 333, doc. 11'",
32,Palma,Arxiu Diocesà,Causa Pia Lul·liana,"c. 2, l. 5 - c. 3, l. 1 - c. 3, l. 2 - c. 4, l. 1 - c. 7, l. 1 - c. 7, l. 2 - Ms. Amorós - Processos 4 - Processos 5 - s. n. - 1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 11 - 12 - 13 - 14 - 15 - 16 - 17 - 18 - 19 - 20 - 21 - 22 - 23 - 24 - 25 - 26 - 27 - 28 - 29 - 30 - 31 - 32 - 33 - 34 - 35 - 36 - 37 - 38 - 39 - 40 - 41 - 43 - 49 - 45-47",
33,Palma,Arxiu Municipal,(fons general),4 - 14 - 20 - 22 - 42 - 43 - 44 - 45 - 62,
34,Palma,Arxiu Municipal,Biblioteca Llabrés,27,
35,Palma,Biblioteca Balear (Monestir de la Real),[Fons general. Codi: 209],BB-II-351 - BB-II-356 - BB-??1 - BB-??2 - Misc. 16 - 1 - 5 - 6 - 7 - 10 - 12 - 8 (9?),
36,Palma,Biblioteca Bartolomé March,(fons propi de la Biblioteca Bartolomé March),B102-V3-3 - B99-VI-18 - B105-VI-25 - 103-A-3 - 99-V1-2 - 99-V1-3 - 99-V1-6 - 99-V1-9 - 102-V2-1 - 102-V2-2 - 102-V2-3 - 102-V3-1 - 96-V1-16 - 105-V1-26,
